URL,A,Track Name,Region,key_column
https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,Drake,Fake Love,ec,Drake
https://open.spotify.com/track/5HJyn7mTQq7OtmpldocdZC,GuayacГЎn Orquesta,"Oiga, Mira, Vea",ec,GuayacГЎn Orquesta
https://open.spotify.com/track/54MeG5FCVXStJTyNvRu9zN,Juan MagГЎn,Love Me,ec,Juan MagГЎn
https://open.spotify.com/track/50gVdVChbqzdMmWR2dp0tP,Fonseca,Vine a Buscarte - Remix,ec,Fonseca
https://open.spotify.com/track/1riK0w5nJ6r2qsdzNsMQJK,Marc Anthony,Ahora Quien - Salsa Version,ec,Marc Anthony
https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,The Weeknd,Can't Feel My Face,ec,The Weeknd
https://open.spotify.com/track/3noN1TxpjbjjmKqssghvg8,Cosculluela,Si Me Dices Que Si (feat. Nicky Jam),ec,Cosculluela
https://open.spotify.com/track/6OpHDI8lRiqHLqmUIYUxVr,Fonseca,Te Mando Flores,ec,Fonseca
https://open.spotify.com/track/7BwJtE8KSbCQKOCTIAY3jX,Carlos Baute,Ando buscando,ec,Carlos Baute
https://open.spotify.com/track/7lOzUJzsELALh5FQsPKTEn,Chayanne,Humanos a Marte,ec,Chayanne
https://open.spotify.com/track/4r3itKA9HEJo48RG65OEnt,J Balvin,Pierde Los Modales,ec,J Balvin
https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp,Plan B,FanГЎtica Sensual,ec,Plan B
https://open.spotify.com/track/5KX51uLJYo1S1MmITG7lHD,Justin Quiles,Otra Copa (feat. Farruko),ec,Justin Quiles
https://open.spotify.com/track/2aJuCPajaqOVaNjmgKGRhF,AmГ©rico,Te Vas,ec,AmГ©rico
https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Starley,Call On Me - Ryan Riback Extended Remix,ec,Starley
https://open.spotify.com/track/36JI0KHc591i9liHaFqDFG,Los De La Nazza,Falsas Mentiras (feat. Ozuna),ec,Los De La Nazza
https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,Ariana Grande,Into You,ec,Ariana Grande
https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,Calle 13,AtrГ©vete-Te-Te,ec,Calle 13
https://open.spotify.com/track/3lJA6dGqvaKtVxqHbTtQiQ,Pitbull,Greenlight,ec,Pitbull
https://open.spotify.com/track/0A2h9QjoPdbVwa9LFiijqM,Justin Quiles,Si Ella Quisiera - Remix,ec,Justin Quiles
https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist,ec,Coldplay
https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,Shawn Mendes,Stitches,ec,Shawn Mendes
https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE,Kygo,Firestone,ec,Kygo
https://open.spotify.com/track/03h8eaVgdJJ14cCKiO4ONX,Joey Montana,Hola,ec,Joey Montana
